Date,County,ED Visit Count,Hospitalization Count
4/28/2020,Bartholomew,6,3
4/29/2020,Bartholomew,2,1
4/30/2020,Bartholomew,4,3
5/1/2020,Bartholomew,5,2
5/2/2020,Bartholomew,9,5
5/3/2020,Bartholomew,3,0
5/4/2020,Bartholomew,8,4
5/5/2020,Bartholomew,4,2
5/6/2020,Bartholomew,2,1
5/7/2020,Bartholomew,3,1
5/8/2020,Bartholomew,1,0
5/9/2020,Bartholomew,5,2
5/10/2020,Bartholomew,1,1
5/11/2020,Bartholomew,5,1
5/12/2020,Bartholomew,7,0
5/13/2020,Bartholomew,6,3
5/14/2020,Bartholomew,4,2
5/15/2020,Bartholomew,6,3
5/16/2020,Bartholomew,3,1
5/17/2020,Bartholomew,4,3
5/18/2020,Bartholomew,1,1
5/19/2020,Bartholomew,0,1
5/20/2020,Bartholomew,3,1
5/21/2020,Bartholomew,2,1
5/22/2020,Bartholomew,5,3
5/23/2020,Bartholomew,0,0
5/24/2020,Bartholomew,2,0
5/25/2020,Bartholomew,2,0
5/26/2020,Bartholomew,4,1
5/27/2020,Bartholomew,1,1
5/28/2020,Bartholomew,0,0
5/29/2020,Bartholomew,3,0
5/30/2020,Bartholomew,0,0
5/31/2020,Bartholomew,0,0
6/1/2020,Bartholomew,0,0
6/2/2020,Bartholomew,4,2
6/3/2020,Bartholomew,0,0
6/4/2020,Bartholomew,2,3
6/5/2020,Bartholomew,4,4
6/6/2020,Bartholomew,3,1
6/7/2020,Bartholomew,0,0
6/8/2020,Bartholomew,0,0
6/9/2020,Bartholomew,0,0
6/10/2020,Bartholomew,4,0
6/11/2020,Bartholomew,1,0
6/12/2020,Bartholomew,0,0
6/13/2020,Bartholomew,1,0
6/14/2020,Bartholomew,0,0
6/15/2020,Bartholomew,2,1
6/16/2020,Bartholomew,1,0
6/17/2020,Bartholomew,0,0
6/18/2020,Bartholomew,1,0
6/19/2020,Bartholomew,2,0
6/20/2020,Bartholomew,0,0
6/21/2020,Bartholomew,3,0
6/22/2020,Bartholomew,0,0
6/23/2020,Bartholomew,4,0
6/24/2020,Bartholomew,5,2
6/25/2020,Bartholomew,3,1
6/26/2020,Bartholomew,1,0
6/27/2020,Bartholomew,3,1
6/28/2020,Bartholomew,2,0
6/29/2020,Bartholomew,4,0
6/30/2020,Bartholomew,1,0
7/1/2020,Bartholomew,4,1
7/2/2020,Bartholomew,3,0
7/3/2020,Bartholomew,1,0
7/4/2020,Bartholomew,2,0
7/5/2020,Bartholomew,3,2
7/6/2020,Bartholomew,3,1
7/7/2020,Bartholomew,2,0
7/8/2020,Bartholomew,4,0
7/9/2020,Bartholomew,2,0
7/10/2020,Bartholomew,1,0
7/11/2020,Bartholomew,2,1
7/12/2020,Bartholomew,3,3
7/13/2020,Bartholomew,4,1
7/14/2020,Bartholomew,2,0
7/15/2020,Bartholomew,6,3
7/16/2020,Bartholomew,5,3
7/17/2020,Bartholomew,5,3
7/18/2020,Bartholomew,4,2
7/19/2020,Bartholomew,6,1
7/20/2020,Bartholomew,3,0
7/21/2020,Bartholomew,6,3
7/22/2020,Bartholomew,6,3
7/23/2020,Bartholomew,2,0
7/24/2020,Bartholomew,5,1
7/25/2020,Bartholomew,2,0
7/26/2020,Bartholomew,7,1
7/27/2020,Bartholomew,4,0
7/28/2020,Bartholomew,3,1
7/29/2020,Bartholomew,3,2
7/30/2020,Bartholomew,2,0
7/31/2020,Bartholomew,1,0
8/1/2020,Bartholomew,3,1
8/2/2020,Bartholomew,3,2
8/3/2020,Bartholomew,2,1
